,"All people","All people","All people","All people","All people","All people","All people","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Africa","Africa","Africa","Africa","Africa","Africa","Africa","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other"
,"All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated"
"S00166397",77,16,25,8,23,3,2,70,14,25,2,22,3,2,68,14,25,3,22,4,2,19,7,6,1,1,4,-,-,-,-,-,-,-,-,46,6,19,2,18,-,-,3,3,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,1,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,4,-,-,4,-,-,-,1,1,-,-,-,-,-
"S00166398",101,31,26,12,26,3,4,98,31,25,11,25,3,4,97,31,25,10,25,3,4,20,9,3,-,3,3,2,-,-,-,-,-,-,-,76,19,22,10,22,-,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00166399",85,29,38,3,4,2,4,81,31,38,3,4,2,4,76,31,38,3,4,-,4,23,19,6,3,1,-,2,-,-,-,-,-,-,-,57,16,34,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,3,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
"S00166400",117,36,42,3,19,-,17,116,36,42,3,18,-,17,115,35,41,3,18,-,17,22,10,2,-,4,-,1,-,-,-,-,-,-,-,89,20,39,3,12,-,14,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166401",61,20,14,1,21,-,5,61,20,14,1,21,-,5,59,18,14,1,21,-,5,8,8,-,-,-,-,-,-,-,-,-,-,-,-,47,9,14,1,21,-,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166402",200,40,97,4,46,3,7,197,42,96,4,46,3,7,197,42,96,4,46,3,7,12,7,2,-,2,1,-,-,-,-,-,-,-,-,183,31,94,4,40,4,7,4,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
"S00166403",120,42,30,2,40,-,3,114,42,32,2,38,-,3,112,40,32,2,37,-,3,16,13,1,-,2,-,-,-,-,-,-,-,-,-,96,28,28,2,35,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-
"S00166404",93,30,42,4,16,1,1,92,30,42,4,16,1,1,90,28,42,3,16,1,1,9,11,-,-,1,-,-,1,-,1,-,-,-,-,76,20,45,3,14,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00166405",96,25,35,6,27,-,4,96,25,35,6,27,-,4,86,22,34,1,27,-,4,10,4,-,1,5,-,-,-,-,-,-,-,-,-,79,18,34,2,22,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,3,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166406",112,37,47,8,20,-,3,113,36,47,3,20,-,3,107,36,47,3,15,-,3,12,9,-,2,1,-,-,-,-,-,-,-,-,-,95,27,47,3,14,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,4,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166407",155,38,51,2,47,1,13,152,36,51,-,47,1,13,152,35,51,-,47,1,13,15,6,3,-,4,2,-,-,-,-,-,-,-,-,136,29,48,-,43,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
"S00166408",71,31,23,-,14,1,-,71,31,23,-,14,1,-,71,31,23,-,14,1,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,66,26,23,-,14,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166409",87,45,16,4,21,3,4,81,43,16,2,16,2,4,81,43,16,2,16,2,4,20,17,-,1,2,2,-,-,-,-,-,-,-,-,64,27,16,1,14,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,1,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-
"S00166410",128,41,48,2,27,1,5,128,41,48,2,27,1,5,128,41,48,2,27,1,5,9,3,2,-,1,-,3,-,-,-,-,-,-,-,115,35,46,2,26,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166411",132,17,58,5,44,-,8,131,16,58,5,44,-,8,131,16,58,5,44,-,8,10,10,4,-,3,-,-,-,-,-,-,-,-,-,118,8,53,5,41,-,8,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00166412",200,65,47,8,71,2,4,200,65,47,8,71,2,4,198,64,47,8,70,2,4,21,11,-,3,-,2,1,-,-,-,-,-,-,-,177,53,47,5,66,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166413",92,39,20,4,20,3,9,93,37,20,4,20,2,9,84,39,19,4,20,2,5,32,18,5,-,7,2,1,2,1,-,-,-,-,1,51,17,14,4,12,-,3,1,-,-,-,1,-,-,-,-,-,-,-,-,-,5,1,1,-,-,-,3,1,1,-,-,-,-,-,2,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166414",124,52,46,4,8,2,9,124,52,46,4,8,2,9,123,50,46,4,8,2,9,45,28,-,2,4,-,6,-,-,-,-,-,-,-,81,23,48,4,4,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166415",128,37,52,-,30,2,4,123,36,54,-,28,1,4,119,37,54,-,26,-,4,20,16,2,-,3,-,4,-,-,-,-,-,-,-,94,17,51,-,23,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,1,-,2,-,-,-,-,2,-,3,1,-,-,2,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
"S00166416",137,52,47,8,22,-,9,137,52,47,8,22,-,9,135,51,46,8,22,-,9,4,2,2,-,-,-,-,-,-,-,-,-,-,-,131,52,45,6,22,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166417",82,27,33,1,20,1,-,82,27,33,1,20,1,-,82,27,33,1,20,1,-,8,6,3,-,-,-,-,-,-,-,-,-,-,-,72,20,26,1,20,1,-,2,2,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166418",77,15,36,3,20,-,2,77,15,36,3,20,-,2,77,15,36,3,20,-,2,4,2,-,-,2,-,1,-,-,-,-,-,-,-,72,14,36,3,18,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166419",92,39,29,-,8,1,11,89,39,29,-,8,1,8,89,39,29,-,8,1,8,20,12,3,-,3,-,2,1,-,-,-,-,-,1,68,27,26,-,9,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"S00166420",136,55,59,2,4,4,8,131,55,59,-,4,4,8,130,54,59,-,4,4,8,8,4,2,-,-,1,1,-,-,-,-,-,-,-,121,50,56,-,4,1,8,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166421",220,67,110,5,30,4,7,220,67,110,5,30,4,7,218,67,110,4,29,4,7,27,15,4,1,5,1,1,-,-,-,-,-,-,-,191,52,103,3,20,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166422",168,58,73,5,25,-,7,167,58,73,5,25,-,6,162,53,73,5,24,-,6,12,8,1,-,2,-,-,-,-,-,-,-,-,-,154,43,72,5,23,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,-,-,1,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166423",101,48,33,4,9,-,6,100,48,33,4,9,-,6,95,45,33,-,9,-,6,7,5,-,-,2,-,-,-,-,-,-,-,-,-,88,40,33,-,7,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00166424",105,24,45,4,20,1,8,104,25,45,4,20,1,8,101,25,45,4,19,1,8,16,9,2,2,6,1,-,-,-,-,-,-,-,-,85,15,44,3,15,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-,-,1,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166425",172,61,70,3,29,-,9,171,61,69,3,29,-,9,168,60,69,3,27,-,9,18,12,2,-,1,-,3,-,-,-,-,-,-,-,150,48,71,3,26,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-
"S00166426",92,23,46,3,15,1,4,92,23,46,3,15,1,4,91,21,46,3,15,1,4,7,4,2,-,-,-,1,-,-,-,-,-,-,-,84,18,44,3,15,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166427",149,67,42,12,23,3,5,148,67,42,8,23,3,5,144,64,42,7,23,3,5,24,14,2,-,6,-,-,-,-,-,-,-,-,-,119,49,40,7,15,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166428",154,47,67,5,23,-,12,152,49,67,5,23,-,12,146,41,66,5,22,-,12,25,11,5,2,5,-,4,1,-,1,-,2,-,-,117,29,60,6,15,-,7,1,1,-,-,-,-,-,1,-,-,-,1,-,-,6,4,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166429",131,36,48,2,41,2,6,131,36,48,2,41,2,6,131,36,48,2,41,2,6,16,9,-,-,1,1,3,-,-,-,-,-,-,-,117,27,48,2,44,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166430",94,23,35,6,25,2,6,94,23,35,6,25,2,6,92,23,34,5,25,2,6,10,3,3,1,1,2,-,-,-,-,-,-,-,-,80,18,31,4,21,-,6,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166431",141,34,61,8,25,-,13,138,34,59,8,24,-,13,135,33,59,8,24,-,13,10,3,1,-,-,-,5,-,-,-,-,-,-,-,126,29,58,8,24,-,8,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,-,-,-,-,-
"S00166432",186,49,88,5,32,1,5,173,46,85,4,31,1,4,172,45,85,4,31,1,4,12,5,1,3,4,-,-,-,-,-,-,-,-,-,159,39,86,1,28,1,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,4,-,-,-,4,-,-,5,3,1,1,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-
"S00166433",109,30,30,7,30,1,10,104,25,29,7,29,1,10,98,25,24,7,26,1,10,21,7,5,-,6,-,4,1,-,1,-,-,-,-,74,14,21,7,18,1,8,3,-,1,-,2,-,-,-,-,-,-,-,-,-,6,3,-,-,3,-,-,4,4,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00166434",145,53,63,10,15,-,6,145,53,63,10,15,-,6,145,53,63,10,15,-,6,9,2,4,3,-,-,-,-,-,-,-,-,-,-,136,49,55,7,15,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166435",151,49,75,5,12,-,10,148,48,74,5,11,-,10,147,48,74,5,11,-,9,9,8,-,-,1,-,-,-,-,-,-,-,-,-,138,40,74,5,13,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-
"S00166436",86,21,49,2,9,-,2,83,20,49,3,8,-,2,83,20,49,3,8,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,82,20,50,3,8,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,1,1,-,-,-,-,-,-,-,-,-
"S00166437",205,61,87,2,39,3,10,206,60,87,2,39,1,10,201,60,86,2,39,1,10,15,11,1,-,3,-,-,-,-,-,-,-,-,-,184,49,84,2,37,1,10,2,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
"S00166438",93,32,35,5,16,-,2,93,32,35,5,16,-,2,84,29,35,2,16,-,2,7,3,-,-,3,-,-,-,-,-,-,-,-,-,78,26,35,2,13,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166439",86,21,48,2,11,-,2,85,21,49,2,11,-,2,83,19,49,2,11,-,2,5,4,1,-,4,-,-,-,-,-,-,-,-,-,78,18,48,2,8,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166440",104,45,32,6,21,-,-,103,44,32,6,21,-,-,103,44,32,6,21,-,-,7,4,4,1,3,-,-,-,-,-,-,-,-,-,91,40,28,5,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166441",106,40,36,2,22,-,6,104,38,36,2,22,-,6,99,35,36,1,21,-,6,7,3,-,-,2,-,2,-,-,-,-,-,-,-,92,32,36,1,19,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
"S00166442",116,34,46,4,20,-,20,112,34,46,4,20,-,18,111,34,46,4,18,-,18,45,19,4,3,12,-,7,-,-,-,-,-,-,-,63,9,36,1,7,-,8,3,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,3,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"S00166443",70,35,20,5,9,-,1,70,35,20,5,9,-,1,70,35,20,5,9,-,1,6,6,-,-,-,-,-,-,-,-,-,-,-,-,64,29,20,5,9,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166444",95,25,44,5,15,-,4,95,25,44,5,15,-,4,95,25,44,5,15,-,4,11,5,1,-,2,-,4,-,-,-,-,-,-,-,84,20,43,5,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166445",123,35,44,6,24,1,10,123,35,44,6,24,1,10,118,36,44,6,22,1,9,7,3,1,-,-,1,1,-,-,-,-,-,-,-,111,37,43,5,22,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166446",75,26,21,2,10,4,13,75,26,21,2,10,4,13,73,24,21,2,10,4,13,3,3,-,-,-,-,-,-,-,-,-,-,-,-,70,21,21,2,10,4,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166447",171,35,70,10,40,10,6,163,35,70,8,39,7,6,156,35,69,7,35,4,6,22,8,4,4,6,2,-,-,-,-,-,-,-,-,134,29,65,3,29,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,1,5,-,-,5,-,-,-,1,-,-,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166448",105,39,38,4,10,1,10,105,39,38,4,10,1,10,100,37,38,3,9,1,9,11,4,1,-,-,-,2,-,-,-,-,-,-,-,92,34,36,3,7,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166449",106,26,53,5,15,4,3,106,26,53,5,15,4,3,103,26,53,5,8,4,3,14,5,3,2,2,-,1,-,-,-,-,-,-,-,85,21,50,3,11,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166450",118,28,63,4,22,3,5,119,26,63,4,22,3,5,117,24,63,4,22,3,5,22,8,3,2,3,1,4,-,-,-,-,-,-,-,95,15,56,2,21,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
"S00166451",65,29,25,-,5,6,-,63,29,24,-,4,6,-,59,25,22,-,4,6,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,56,29,22,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166452",72,30,24,3,7,6,-,71,30,24,2,7,6,-,71,30,24,2,7,6,-,8,5,-,-,-,-,-,-,-,-,-,-,-,-,63,25,24,2,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166453",164,42,77,8,34,3,4,160,42,77,4,32,3,4,160,42,77,4,32,3,4,13,4,3,5,1,-,2,-,-,-,-,-,-,-,142,37,74,1,31,1,1,1,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,1,-,-,-
"S00166454",145,31,47,10,40,2,15,139,30,46,9,39,-,15,139,30,46,9,39,-,15,20,7,1,3,5,-,4,1,-,-,-,-,-,1,117,23,44,6,34,-,10,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,-,-,1,2,-,1,-,1,-,-,-,-,1,-,-,1,-,-,-
"S00166455",106,61,19,11,9,1,3,101,61,19,11,9,1,3,96,58,19,7,9,1,3,11,13,1,-,-,-,-,-,-,-,-,-,-,-,85,45,21,7,9,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,5,-,-,-,2,2,-,-,-,-,-,1,1,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-
"S00166456",106,23,47,7,15,7,2,104,23,47,7,15,5,2,99,23,47,5,13,6,2,2,-,-,-,2,-,-,-,-,-,-,-,-,-,102,23,47,5,12,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,2,2,2,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166457",96,38,43,5,7,1,4,94,37,43,5,7,1,3,92,35,43,5,7,-,3,8,4,-,-,4,-,-,-,-,-,-,-,-,-,84,32,43,5,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"S00166458",124,26,59,10,21,-,6,123,26,59,6,21,-,6,122,25,59,6,21,-,6,4,-,-,-,-,-,1,1,-,-,1,-,-,-,118,23,59,5,21,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166459",138,52,53,6,15,2,11,137,54,53,6,15,2,11,135,50,53,6,15,-,11,21,11,3,1,3,-,1,1,1,-,-,-,-,-,113,35,50,5,12,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
"S00166460",107,26,55,1,16,1,6,106,26,54,1,16,1,6,106,26,54,1,16,1,6,14,7,-,-,5,1,2,1,-,-,-,-,-,1,89,19,54,1,10,-,3,2,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166461",127,26,73,7,16,-,5,124,25,72,6,16,-,5,114,21,71,4,15,-,5,3,2,-,-,1,-,-,-,-,-,-,-,-,-,114,22,71,4,14,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,1,1,6,2,-,-,2,-,2,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166462",151,33,76,11,23,6,5,145,32,76,11,22,2,5,134,30,76,5,21,1,2,11,4,-,-,9,-,-,-,-,-,-,-,-,-,122,28,76,5,11,1,2,-,-,-,-,-,-,-,1,-,-,-,1,-,-,11,2,-,3,1,2,7,-,-,-,-,-,-,-,5,1,-,-,-,4,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
